sample1	sample2	N_informative_sites	discordance	log_p	N_fit_iteration	N_generation	N_state_transition	seq_shared_best_traj	fract_sites_IBD	fract_vit_sites_IBD
C01/PG0065-C/ERR019064	C12/PG0058-C/ERR019063	9755	0.8675	-1.55972e+04	4	4.588	32	0.38262	0.37066	0.37391
C01/PG0065-C/ERR019064	C13/PG0054-C/ERR019062	9087	0.8304	-1.49550e+04	3	4.436	33	0.41959	0.44118	0.44446
C01/PG0065-C/ERR019064	C14/PG0060-C/ERR019058	9319	0.6991	-1.43846e+04	3	4.887	37	0.54492	0.51609	0.51876
C01/PG0065-C/ERR019064	C15/PG0057-C/ERR019069	8884	0.8001	-1.42589e+04	4	4.639	33	0.39648	0.47214	0.47449
C02/PG0053-C/ERR019067	C02/PG0055-C/ERR019066	1017	0.0049	-5.97078e+03	3	0.000	0	1.00000	1.00000	1.00000
C02/PG0053-C/ERR019067	C02/PG0056-C/ERR019068	1014	0.0020	-5.95206e+03	3	0.000	0	1.00000	1.00000	1.00000
C02/PG0053-C/ERR019067	C02/PG0067-C/ERR019073	1014	0.0010	-5.94529e+03	3	0.000	0	1.00000	1.00000	1.00000
C02/PG0053-C/ERR019067	C03/PG0066-C/ERR019072	5882	0.9369	-1.15461e+04	5	5.373	38	0.60163	0.58770	0.59122
C02/PG0053-C/ERR019067	C04/PG0061-C/ERR019059	5879	0.9656	-1.18506e+04	4	4.954	36	0.56881	0.57362	0.57786
C02/PG0053-C/ERR019067	C05/PG0068-C/ERR019065	6407	0.9466	-1.28314e+04	4	3.440	25	0.54547	0.54551	0.54489
C02/PG0053-C/ERR019067	C06/PG0069-C/ERR019055	6033	0.9151	-1.18808e+04	4	4.790	34	0.63050	0.58847	0.59247
C02/PG0053-C/ERR019067	C07/PG0070-C/ERR019056	6447	0.9471	-1.18980e+04	4	4.506	32	0.58270	0.54612	0.55055
C02/PG0053-C/ERR019067	C08/PG0071-C/ERR019074	6256	0.9535	-1.20711e+04	3	3.615	27	0.53359	0.55765	0.56090
C02/PG0053-C/ERR019067	C09/PG0072-C/ERR019057	6141	0.9342	-1.17040e+04	4	4.798	34	0.57911	0.57152	0.57499
C02/PG0053-C/ERR019067	C10/PG0063-C/ERR019060	4398	0.9407	-1.05526e+04	5	5.380	34	0.66585	0.68785	0.68989
C02/PG0053-C/ERR019067	C11/PG0064-C/ERR019071	5854	0.9520	-1.20656e+04	4	5.485	39	0.58350	0.57606	0.57830
C02/PG0053-C/ERR019067	C12/PG0058-C/ERR019063	4998	0.8952	-1.08557e+04	5	5.716	36	0.63841	0.66386	0.66706
C02/PG0053-C/ERR019067	C13/PG0054-C/ERR019062	4957	0.9710	-1.10337e+04	4	4.753	33	0.63665	0.64063	0.64503
C02/PG0053-C/ERR019067	C14/PG0060-C/ERR019058	6268	0.9475	-1.21286e+04	4	4.508	33	0.53532	0.55552	0.55899
C02/PG0053-C/ERR019067	C15/PG0057-C/ERR019069	4573	0.8771	-1.00882e+04	4	5.704	35	0.70808	0.69752	0.70487
C02/PG0055-C/ERR019066	C02/PG0056-C/ERR019068	1017	0.0049	-5.97097e+03	2	0.000	0	1.00000	1.00000	1.00000
C02/PG0055-C/ERR019066	C02/PG0067-C/ERR019073	1017	0.0039	-5.96421e+03	2	0.000	0	1.00000	1.00000	1.00000
C02/PG0055-C/ERR019066	C03/PG0066-C/ERR019072	5883	0.9368	-1.15532e+04	5	5.318	38	0.60163	0.58874	0.59122
C02/PG0055-C/ERR019066	C04/PG0061-C/ERR019059	5880	0.9653	-1.18524e+04	4	4.902	36	0.56881	0.57463	0.57786
C02/PG0055-C/ERR019066	C05/PG0068-C/ERR019065	6408	0.9462	-1.28340e+04	3	3.478	26	0.55324	0.54893	0.55194
C02/PG0055-C/ERR019066	C06/PG0069-C/ERR019055	6033	0.9148	-1.18872e+04	4	4.736	34	0.63050	0.58945	0.59247
C02/PG0055-C/ERR019066	C07/PG0070-C/ERR019056	6447	0.9470	-1.19042e+04	4	4.457	32	0.58270	0.54712	0.55055
C02/PG0055-C/ERR019066	C08/PG0071-C/ERR019074	6257	0.9535	-1.20834e+04	3	3.577	27	0.53359	0.55849	0.56090
C02/PG0055-C/ERR019066	C09/PG0072-C/ERR019057	6143	0.9342	-1.17175e+04	4	4.748	34	0.57911	0.57251	0.57499
C02/PG0055-C/ERR019066	C10/PG0063-C/ERR019060	4399	0.9400	-1.05588e+04	5	5.393	34	0.66585	0.68807	0.68989
C02/PG0055-C/ERR019066	C11/PG0064-C/ERR019071	5854	0.9517	-1.20752e+04	4	5.545	40	0.59295	0.58037	0.58689
C02/PG0055-C/ERR019066	C12/PG0058-C/ERR019063	5000	0.8952	-1.08688e+04	5	5.662	36	0.63841	0.66478	0.66706
C02/PG0055-C/ERR019066	C13/PG0054-C/ERR019062	4957	0.9705	-1.10346e+04	4	4.703	33	0.63665	0.64151	0.64503
C02/PG0055-C/ERR019066	C14/PG0060-C/ERR019058	6270	0.9474	-1.21365e+04	4	4.459	33	0.53532	0.55650	0.55899
C02/PG0055-C/ERR019066	C15/PG0057-C/ERR019069	4575	0.8769	-1.01011e+04	4	5.606	35	0.70808	0.70087	0.70487
C02/PG0056-C/ERR019068	C02/PG0067-C/ERR019073	1014	0.0010	-5.94549e+03	2	0.000	0	1.00000	1.00000	1.00000
C02/PG0056-C/ERR019068	C03/PG0066-C/ERR019072	5881	0.9369	-1.15405e+04	5	5.309	38	0.60163	0.58875	0.59122
C02/PG0056-C/ERR019068	C04/PG0061-C/ERR019059	5880	0.9658	-1.18522e+04	4	4.924	36	0.56881	0.57463	0.57786
C02/PG0056-C/ERR019068	C05/PG0068-C/ERR019065	6407	0.9465	-1.28274e+04	3	3.475	26	0.55324	0.54893	0.55194
C02/PG0056-C/ERR019068	C06/PG0069-C/ERR019055	6031	0.9149	-1.18732e+04	4	4.735	34	0.63050	0.58945	0.59247
C02/PG0056-C/ERR019068	C07/PG0070-C/ERR019056	6445	0.9471	-1.18910e+04	4	4.451	32	0.58270	0.54713	0.55055
C02/PG0056-C/ERR019068	C08/PG0071-C/ERR019074	6254	0.9535	-1.20641e+04	3	3.573	27	0.53359	0.55850	0.56090
C02/PG0056-C/ERR019068	C09/PG0072-C/ERR019057	6140	0.9342	-1.16978e+04	4	4.741	34	0.57911	0.57252	0.57499
C02/PG0056-C/ERR019068	C10/PG0063-C/ERR019060	4399	0.9407	-1.05547e+04	5	5.387	34	0.66479	0.68781	0.68960
C02/PG0056-C/ERR019068	C11/PG0064-C/ERR019071	5854	0.9520	-1.20693e+04	4	5.582	40	0.59295	0.58035	0.58689
C02/PG0056-C/ERR019068	C12/PG0058-C/ERR019063	4998	0.8952	-1.08509e+04	5	5.655	36	0.63841	0.66479	0.66706
C02/PG0056-C/ERR019068	C13/PG0054-C/ERR019062	4956	0.9709	-1.10276e+04	4	4.703	33	0.63665	0.64151	0.64503
C02/PG0056-C/ERR019068	C14/PG0060-C/ERR019058	6268	0.9475	-1.21238e+04	4	4.453	33	0.53532	0.55651	0.55899
C02/PG0056-C/ERR019068	C15/PG0057-C/ERR019069	4574	0.8771	-1.00892e+04	4	5.632	35	0.70808	0.70087	0.70487
C02/PG0067-C/ERR019073	C03/PG0066-C/ERR019072	5880	0.9369	-1.15384e+04	5	5.309	38	0.60163	0.58875	0.59122
C02/PG0067-C/ERR019073	C04/PG0061-C/ERR019059	5880	0.9656	-1.18455e+04	4	4.895	36	0.56881	0.57464	0.57786
C02/PG0067-C/ERR019073	C05/PG0068-C/ERR019065	6408	0.9465	-1.28271e+04	3	3.475	26	0.55324	0.54893	0.55194
C02/PG0067-C/ERR019073	C06/PG0069-C/ERR019055	6031	0.9149	-1.18725e+04	4	4.735	34	0.63050	0.58945	0.59247
C02/PG0067-C/ERR019073	C07/PG0070-C/ERR019056	6445	0.9471	-1.18904e+04	4	4.451	32	0.58270	0.54713	0.55055
C02/PG0067-C/ERR019073	C08/PG0071-C/ERR019074	6254	0.9535	-1.20634e+04	3	3.573	27	0.53359	0.55850	0.56090
C02/PG0067-C/ERR019073	C09/PG0072-C/ERR019057	6141	0.9342	-1.16980e+04	4	4.741	34	0.57911	0.57252	0.57499
C02/PG0067-C/ERR019073	C10/PG0063-C/ERR019060	4399	0.9404	-1.05514e+04	5	5.391	34	0.66585	0.68807	0.68989
C02/PG0067-C/ERR019073	C11/PG0064-C/ERR019071	5854	0.9518	-1.20625e+04	4	5.545	40	0.59295	0.58037	0.58689
C02/PG0067-C/ERR019073	C12/PG0058-C/ERR019063	4999	0.8952	-1.08505e+04	5	5.653	36	0.63841	0.66479	0.66706
C02/PG0067-C/ERR019073	C13/PG0054-C/ERR019062	4957	0.9710	-1.10272e+04	4	4.703	33	0.63665	0.64151	0.64503
C02/PG0067-C/ERR019073	C14/PG0060-C/ERR019058	6268	0.9475	-1.21227e+04	4	4.453	33	0.53532	0.55651	0.55899
C02/PG0067-C/ERR019073	C15/PG0057-C/ERR019069	4573	0.8769	-1.00816e+04	4	5.596	35	0.70808	0.70089	0.70487
C03/PG0066-C/ERR019072	C04/PG0061-C/ERR019059	8335	0.7634	-1.37265e+04	4	5.851	44	0.54443	0.52556	0.52896
C03/PG0066-C/ERR019072	C05/PG0068-C/ERR019065	9090	0.7926	-1.48056e+04	4	3.906	28	0.45173	0.46541	0.46869
C03/PG0066-C/ERR019072	C06/PG0069-C/ERR019055	9232	0.8333	-1.48360e+04	4	5.182	38	0.50001	0.42937	0.43169
C03/PG0066-C/ERR019072	C07/PG0070-C/ERR019056	8207	0.6581	-1.28582e+04	4	4.348	29	0.65569	0.59746	0.59878
C03/PG0066-C/ERR019072	C08/PG0071-C/ERR019074	8303	0.7028	-1.33634e+04	4	3.610	23	0.59755	0.56612	0.56596
C03/PG0066-C/ERR019072	C09/PG0072-C/ERR019057	8584	0.7452	-1.36285e+04	4	4.869	34	0.53235	0.52406	0.52683
C03/PG0066-C/ERR019072	C10/PG0063-C/ERR019060	7601	0.8309	-1.35078e+04	4	4.878	36	0.50258	0.52705	0.52970
C03/PG0066-C/ERR019072	C11/PG0064-C/ERR019071	8477	0.7782	-1.41034e+04	4	5.748	42	0.49964	0.50521	0.50987
C03/PG0066-C/ERR019072	C12/PG0058-C/ERR019063	8540	0.8588	-1.42879e+04	4	4.493	34	0.46818	0.45590	0.45944
C03/PG0066-C/ERR019072	C13/PG0054-C/ERR019062	7577	0.7690	-1.31822e+04	4	4.997	37	0.51312	0.56581	0.56795
C03/PG0066-C/ERR019072	C14/PG0060-C/ERR019058	8020	0.6505	-1.30289e+04	5	5.915	41	0.60868	0.60947	0.61266
C03/PG0066-C/ERR019072	C15/PG0057-C/ERR019069	7877	0.8116	-1.32431e+04	4	5.292	39	0.48421	0.52388	0.52676
C04/PG0061-C/ERR019059	C05/PG0068-C/ERR019065	7974	0.6556	-1.36676e+04	4	4.637	34	0.57409	0.60367	0.60583
C04/PG0061-C/ERR019059	C06/PG0069-C/ERR019055	9341	0.8742	-1.53385e+04	4	5.608	39	0.36429	0.38569	0.38830
C04/PG0061-C/ERR019059	C07/PG0070-C/ERR019056	8811	0.7791	-1.40425e+04	4	5.024	38	0.50263	0.48429	0.48682
C04/PG0061-C/ERR019059	C08/PG0071-C/ERR019074	8541	0.7688	-1.40476e+04	4	4.328	33	0.52243	0.50679	0.50870
C04/PG0061-C/ERR019059	C09/PG0072-C/ERR019057	8776	0.7955	-1.41369e+04	4	5.210	38	0.47244	0.47314	0.47779
C04/PG0061-C/ERR019059	C10/PG0063-C/ERR019060	7059	0.7654	-1.30688e+04	4	5.329	39	0.56426	0.59270	0.59636
C04/PG0061-C/ERR019059	C11/PG0064-C/ERR019071	8401	0.7972	-1.43492e+04	4	6.104	45	0.55737	0.49129	0.49732
C04/PG0061-C/ERR019059	C12/PG0058-C/ERR019063	7711	0.7690	-1.33826e+04	4	5.305	38	0.55820	0.55129	0.55363
C04/PG0061-C/ERR019059	C13/PG0054-C/ERR019062	8149	0.8765	-1.43299e+04	4	5.615	42	0.45612	0.46791	0.47251
C04/PG0061-C/ERR019059	C14/PG0060-C/ERR019058	7596	0.5978	-1.26705e+04	4	6.327	43	0.64961	0.65920	0.66207
C04/PG0061-C/ERR019059	C15/PG0057-C/ERR019069	7757	0.8153	-1.32928e+04	4	5.752	42	0.52756	0.52739	0.53183
C05/PG0068-C/ERR019065	C06/PG0069-C/ERR019055	9359	0.7960	-1.54847e+04	3	3.994	30	0.43585	0.44649	0.44967
C05/PG0068-C/ERR019065	C07/PG0070-C/ERR019056	10253	0.8776	-1.62703e+04	4	4.110	27	0.34787	0.33419	0.33742
C05/PG0068-C/ERR019065	C08/PG0071-C/ERR019074	10214	0.8966	-1.66316e+04	4	3.106	21	0.34106	0.32278	0.32545
C05/PG0068-C/ERR019065	C09/PG0072-C/ERR019057	8882	0.7316	-1.44292e+04	3	3.702	28	0.52241	0.51776	0.52023
C05/PG0068-C/ERR019065	C10/PG0063-C/ERR019060	7426	0.7365	-1.37064e+04	4	4.077	28	0.58723	0.59027	0.58755
C05/PG0068-C/ERR019065	C11/PG0064-C/ERR019071	9319	0.8354	-1.57829e+04	4	4.521	33	0.45113	0.41877	0.41832
C05/PG0068-C/ERR019065	C12/PG0058-C/ERR019063	8715	0.8244	-1.49743e+04	3	3.961	30	0.49636	0.46647	0.46979
C05/PG0068-C/ERR019065	C13/PG0054-C/ERR019062	8201	0.8021	-1.45289e+04	3	3.804	29	0.54148	0.51211	0.51494
C05/PG0068-C/ERR019065	C14/PG0060-C/ERR019058	9271	0.7793	-1.52864e+04	3	4.602	35	0.47895	0.46358	0.46612
C05/PG0068-C/ERR019065	C15/PG0057-C/ERR019069	7961	0.7618	-1.38347e+04	3	3.822	28	0.57323	0.54514	0.54335
C06/PG0069-C/ERR019055	C07/PG0070-C/ERR019056	8088	0.6023	-1.26258e+04	4	5.100	34	0.62898	0.63725	0.63923
C06/PG0069-C/ERR019055	C08/PG0071-C/ERR019074	7889	0.5975	-1.27623e+04	4	4.455	31	0.63974	0.65062	0.65289
C06/PG0069-C/ERR019055	C09/PG0072-C/ERR019057	8151	0.6427	-1.29886e+04	4	5.629	40	0.62559	0.60961	0.61244
C06/PG0069-C/ERR019055	C10/PG0063-C/ERR019060	8375	0.9041	-1.47252e+04	4	5.262	36	0.44885	0.43502	0.43235
C06/PG0069-C/ERR019055	C11/PG0064-C/ERR019071	8564	0.7563	-1.42541e+04	4	5.254	38	0.54315	0.51262	0.51678
C06/PG0069-C/ERR019055	C12/PG0058-C/ERR019063	8351	0.7977	-1.41119e+04	4	5.758	42	0.50747	0.50381	0.50635
C06/PG0069-C/ERR019055	C13/PG0054-C/ERR019062	8453	0.8622	-1.44883e+04	3	4.369	33	0.50046	0.45827	0.46105
C06/PG0069-C/ERR019055	C14/PG0060-C/ERR019058	9530	0.8338	-1.53063e+04	4	5.650	41	0.42748	0.40878	0.41150
C06/PG0069-C/ERR019055	C15/PG0057-C/ERR019069	8003	0.7936	-1.35126e+04	4	5.132	37	0.53493	0.52678	0.53080
C07/PG0070-C/ERR019056	C08/PG0071-C/ERR019074	7613	0.5150	-1.18189e+04	4	4.393	26	0.73690	0.70953	0.71147
C07/PG0070-C/ERR019056	C09/PG0072-C/ERR019057	8701	0.7006	-1.33278e+04	4	4.412	32	0.53495	0.54732	0.55011
C07/PG0070-C/ERR019056	C10/PG0063-C/ERR019060	8811	0.9309	-1.48228e+04	4	4.203	28	0.42659	0.38864	0.38639
C07/PG0070-C/ERR019056	C11/PG0064-C/ERR019071	8502	0.7189	-1.37097e+04	4	5.387	39	0.54206	0.54233	0.54812
C07/PG0070-C/ERR019056	C12/PG0058-C/ERR019063	8093	0.7295	-1.31870e+04	5	5.076	34	0.56588	0.55884	0.56259
C07/PG0070-C/ERR019056	C13/PG0054-C/ERR019062	8720	0.8692	-1.44326e+04	4	4.525	32	0.45478	0.43764	0.44145
C07/PG0070-C/ERR019056	C14/PG0060-C/ERR019058	8602	0.6798	-1.34263e+04	4	5.132	37	0.60886	0.56534	0.56839
C07/PG0070-C/ERR019056	C15/PG0057-C/ERR019069	8287	0.8058	-1.33926e+04	4	4.944	36	0.45383	0.50459	0.50870
C08/PG0071-C/ERR019074	C09/PG0072-C/ERR019057	9096	0.7839	-1.42304e+04	4	3.055	23	0.48950	0.46955	0.47104
C08/PG0071-C/ERR019074	C10/PG0063-C/ERR019060	8480	0.9175	-1.47809e+04	4	3.395	23	0.41026	0.41985	0.41686
C08/PG0071-C/ERR019074	C11/PG0064-C/ERR019071	8106	0.6862	-1.34996e+04	4	4.537	33	0.58658	0.58424	0.58887
C08/PG0071-C/ERR019074	C12/PG0058-C/ERR019063	7429	0.6484	-1.26103e+04	4	4.430	31	0.59347	0.64106	0.64327
C08/PG0071-C/ERR019074	C13/PG0054-C/ERR019062	8662	0.8895	-1.47362e+04	3	3.495	26	0.44317	0.42911	0.43154
C08/PG0071-C/ERR019074	C14/PG0060-C/ERR019058	8331	0.6657	-1.34555e+04	4	4.350	32	0.59738	0.58856	0.59100
C08/PG0071-C/ERR019074	C15/PG0057-C/ERR019069	8362	0.8455	-1.38562e+04	3	3.714	28	0.45787	0.47600	0.47882
C09/PG0072-C/ERR019057	C10/PG0063-C/ERR019060	8180	0.8779	-1.41445e+04	4	4.383	30	0.48086	0.46256	0.45841
C09/PG0072-C/ERR019057	C11/PG0064-C/ERR019071	8828	0.7937	-1.44412e+04	4	4.350	32	0.48180	0.47498	0.47904
