sample1	sample2	chr	start	end	different	Nsnp
3D7/PG0051-C/ERR019061	C02/PG0053-C/ERR019067	5	38911	1321348	0	820
3D7/PG0051-C/ERR019061	C02/PG0053-C/ERR019067	6	72627	1294070	1	727
3D7/PG0051-C/ERR019061	C02/PG0053-C/ERR019067	7	77258	1138335	0	1009
3D7/PG0051-C/ERR019061	C02/PG0053-C/ERR019067	7	1142799	1268573	1	106
3D7/PG0051-C/ERR019061	C02/PG0053-C/ERR019067	7	1280921	1380100	0	51
3D7/PG0051-C/ERR019061	C02/PG0053-C/ERR019067	8	74385	1363564	1	890
3D7/PG0051-C/ERR019061	C02/PG0053-C/ERR019067	9	80852	1473413	1	1138
3D7/PG0051-C/ERR019061	C02/PG0053-C/ERR019067	10	70764	675547	0	318
3D7/PG0051-C/ERR019061	C02/PG0053-C/ERR019067	10	678480	795777	1	54
3D7/PG0051-C/ERR019061	C02/PG0053-C/ERR019067	10	800556	1217300	0	187
3D7/PG0051-C/ERR019061	C02/PG0053-C/ERR019067	10	1220995	1571687	1	550
3D7/PG0051-C/ERR019061	C02/PG0053-C/ERR019067	11	111204	299078	0	103
3D7/PG0051-C/ERR019061	C02/PG0053-C/ERR019067	11	301858	1017769	1	336
3D7/PG0051-C/ERR019061	C02/PG0053-C/ERR019067	11	1018899	1934044	0	477
3D7/PG0051-C/ERR019061	C02/PG0053-C/ERR019067	12	60587	921491	0	394
3D7/PG0051-C/ERR019061	C02/PG0053-C/ERR019067	12	1107393	1395047	1	137
3D7/PG0051-C/ERR019061	C02/PG0053-C/ERR019067	12	1398531	2162878	0	418
3D7/PG0051-C/ERR019061	C02/PG0053-C/ERR019067	13	92637	2787498	0	1418
3D7/PG0051-C/ERR019061	C02/PG0053-C/ERR019067	14	36236	1436430	0	770
3D7/PG0051-C/ERR019061	C02/PG0053-C/ERR019067	14	1441195	1932778	1	269
3D7/PG0051-C/ERR019061	C02/PG0053-C/ERR019067	14	1935095	2217547	0	148
3D7/PG0051-C/ERR019061	C02/PG0053-C/ERR019067	14	2222114	2314031	1	42
3D7/PG0051-C/ERR019061	C02/PG0053-C/ERR019067	14	2316005	3254381	0	603
3D7/PG0051-C/ERR019061	C02/PG0055-C/ERR019066	1	95518	341183	0	149
3D7/PG0051-C/ERR019061	C02/PG0055-C/ERR019066	1	345066	574270	1	249
3D7/PG0051-C/ERR019061	C02/PG0055-C/ERR019066	2	109073	346718	1	168
3D7/PG0051-C/ERR019061	C02/PG0055-C/ERR019066	2	360156	861650	0	363
3D7/PG0051-C/ERR019061	C02/PG0055-C/ERR019066	3	74346	1001448	0	620
3D7/PG0051-C/ERR019061	C02/PG0055-C/ERR019066	4	91950	1141383	1	1107
3D7/PG0051-C/ERR019061	C02/PG0055-C/ERR019066	5	38911	1321348	0	820
3D7/PG0051-C/ERR019061	C02/PG0055-C/ERR019066	6	72627	1294070	1	727
3D7/PG0051-C/ERR019061	C02/PG0055-C/ERR019066	7	77258	1138335	0	1009
3D7/PG0051-C/ERR019061	C02/PG0055-C/ERR019066	7	1142799	1268573	1	106
3D7/PG0051-C/ERR019061	C02/PG0055-C/ERR019066	7	1280921	1380100	0	51
3D7/PG0051-C/ERR019061	C02/PG0055-C/ERR019066	8	74385	1363564	1	890
3D7/PG0051-C/ERR019061	C02/PG0055-C/ERR019066	9	80852	1473413	1	1138
3D7/PG0051-C/ERR019061	C02/PG0055-C/ERR019066	10	70764	675547	0	318
3D7/PG0051-C/ERR019061	C02/PG0055-C/ERR019066	10	678480	795777	1	54
3D7/PG0051-C/ERR019061	C02/PG0055-C/ERR019066	10	800556	1217300	0	187
3D7/PG0051-C/ERR019061	C02/PG0055-C/ERR019066	10	1220995	1571687	1	550
3D7/PG0051-C/ERR019061	C02/PG0055-C/ERR019066	11	111204	299078	0	103
3D7/PG0051-C/ERR019061	C02/PG0055-C/ERR019066	11	301858	1017769	1	336
3D7/PG0051-C/ERR019061	C02/PG0055-C/ERR019066	11	1018899	1934044	0	477
3D7/PG0051-C/ERR019061	C02/PG0055-C/ERR019066	12	60587	921491	0	394
3D7/PG0051-C/ERR019061	C02/PG0055-C/ERR019066	12	1107393	1395047	1	137
3D7/PG0051-C/ERR019061	C02/PG0055-C/ERR019066	12	1398531	2162878	0	418
3D7/PG0051-C/ERR019061	C02/PG0055-C/ERR019066	13	92637	2787498	0	1418
3D7/PG0051-C/ERR019061	C02/PG0055-C/ERR019066	14	36236	1436430	0	770
3D7/PG0051-C/ERR019061	C02/PG0055-C/ERR019066	14	1441195	1932778	1	269
3D7/PG0051-C/ERR019061	C02/PG0055-C/ERR019066	14	1935095	2217547	0	148
3D7/PG0051-C/ERR019061	C02/PG0055-C/ERR019066	14	2222114	2314031	1	42
3D7/PG0051-C/ERR019061	C02/PG0055-C/ERR019066	14	2316005	3254381	0	603
3D7/PG0051-C/ERR019061	C02/PG0056-C/ERR019068	1	95518	341183	0	149
3D7/PG0051-C/ERR019061	C02/PG0056-C/ERR019068	1	345066	574270	1	249
3D7/PG0051-C/ERR019061	C02/PG0056-C/ERR019068	2	109073	346718	1	168
3D7/PG0051-C/ERR019061	C02/PG0056-C/ERR019068	2	360156	861650	0	363
3D7/PG0051-C/ERR019061	C02/PG0056-C/ERR019068	3	74346	1001448	0	620
3D7/PG0051-C/ERR019061	C02/PG0056-C/ERR019068	4	91950	1141383	1	1107
3D7/PG0051-C/ERR019061	C02/PG0056-C/ERR019068	5	38911	1321348	0	820
3D7/PG0051-C/ERR019061	C02/PG0056-C/ERR019068	6	72627	1294070	1	727
3D7/PG0051-C/ERR019061	C02/PG0056-C/ERR019068	7	77258	1138335	0	1009
3D7/PG0051-C/ERR019061	C02/PG0056-C/ERR019068	7	1142799	1268573	1	106
3D7/PG0051-C/ERR019061	C02/PG0056-C/ERR019068	7	1280921	1380100	0	51
3D7/PG0051-C/ERR019061	C02/PG0056-C/ERR019068	8	74385	1363564	1	890
3D7/PG0051-C/ERR019061	C02/PG0056-C/ERR019068	9	80852	1473413	1	1138
3D7/PG0051-C/ERR019061	C02/PG0056-C/ERR019068	10	70764	675547	0	318
3D7/PG0051-C/ERR019061	C02/PG0056-C/ERR019068	10	678480	795777	1	54
3D7/PG0051-C/ERR019061	C02/PG0056-C/ERR019068	10	800556	1217300	0	187
3D7/PG0051-C/ERR019061	C02/PG0056-C/ERR019068	10	1220995	1571687	1	550
3D7/PG0051-C/ERR019061	C02/PG0056-C/ERR019068	11	111204	299078	0	103
3D7/PG0051-C/ERR019061	C02/PG0056-C/ERR019068	11	301858	1017769	1	336
3D7/PG0051-C/ERR019061	C02/PG0056-C/ERR019068	11	1018899	1934044	0	477
3D7/PG0051-C/ERR019061	C02/PG0056-C/ERR019068	12	60587	921491	0	394
3D7/PG0051-C/ERR019061	C02/PG0056-C/ERR019068	12	1107393	1395047	1	137
3D7/PG0051-C/ERR019061	C02/PG0056-C/ERR019068	12	1398531	2162878	0	418
3D7/PG0051-C/ERR019061	C02/PG0056-C/ERR019068	13	92637	2787498	0	1418
3D7/PG0051-C/ERR019061	C02/PG0056-C/ERR019068	14	36236	1436430	0	770
3D7/PG0051-C/ERR019061	C02/PG0056-C/ERR019068	14	1441195	1932778	1	269
3D7/PG0051-C/ERR019061	C02/PG0056-C/ERR019068	14	1935095	2217547	0	148
3D7/PG0051-C/ERR019061	C02/PG0056-C/ERR019068	14	2222114	2314031	1	42
3D7/PG0051-C/ERR019061	C02/PG0056-C/ERR019068	14	2316005	3254381	0	603
3D7/PG0051-C/ERR019061	C02/PG0067-C/ERR019073	1	95518	341183	0	149
3D7/PG0051-C/ERR019061	C02/PG0067-C/ERR019073	1	345066	574270	1	249
3D7/PG0051-C/ERR019061	C02/PG0067-C/ERR019073	2	109073	346718	1	168
3D7/PG0051-C/ERR019061	C02/PG0067-C/ERR019073	2	360156	861650	0	363
3D7/PG0051-C/ERR019061	C02/PG0067-C/ERR019073	3	74346	1001448	0	620
3D7/PG0051-C/ERR019061	C02/PG0067-C/ERR019073	4	91950	1141383	1	1107
3D7/PG0051-C/ERR019061	C02/PG0067-C/ERR019073	5	38911	1321348	0	820
3D7/PG0051-C/ERR019061	C02/PG0067-C/ERR019073	6	72627	1294070	1	727
3D7/PG0051-C/ERR019061	C02/PG0067-C/ERR019073	7	77258	1138335	0	1009
3D7/PG0051-C/ERR019061	C02/PG0067-C/ERR019073	7	1142799	1268573	1	106
3D7/PG0051-C/ERR019061	C02/PG0067-C/ERR019073	7	1280921	1380100	0	51
3D7/PG0051-C/ERR019061	C02/PG0067-C/ERR019073	8	74385	1363564	1	890
3D7/PG0051-C/ERR019061	C02/PG0067-C/ERR019073	9	80852	1473413	1	1138
3D7/PG0051-C/ERR019061	C02/PG0067-C/ERR019073	10	70764	675547	0	318
3D7/PG0051-C/ERR019061	C02/PG0067-C/ERR019073	10	678480	795777	1	54
3D7/PG0051-C/ERR019061	C02/PG0067-C/ERR019073	10	800556	1217300	0	187
3D7/PG0051-C/ERR019061	C02/PG0067-C/ERR019073	10	1220995	1571687	1	550
3D7/PG0051-C/ERR019061	C02/PG0067-C/ERR019073	11	111204	299078	0	103
3D7/PG0051-C/ERR019061	C02/PG0067-C/ERR019073	11	301858	1017769	1	336
3D7/PG0051-C/ERR019061	C02/PG0067-C/ERR019073	11	1018899	1934044	0	477
3D7/PG0051-C/ERR019061	C02/PG0067-C/ERR019073	12	60587	921491	0	394
3D7/PG0051-C/ERR019061	C02/PG0067-C/ERR019073	12	1107393	1395047	1	137
3D7/PG0051-C/ERR019061	C02/PG0067-C/ERR019073	12	1398531	2162878	0	418
3D7/PG0051-C/ERR019061	C02/PG0067-C/ERR019073	13	92637	2787498	0	1418
3D7/PG0051-C/ERR019061	C02/PG0067-C/ERR019073	14	36236	1436430	0	770
3D7/PG0051-C/ERR019061	C02/PG0067-C/ERR019073	14	1441195	1932778	1	269
3D7/PG0051-C/ERR019061	C02/PG0067-C/ERR019073	14	1935095	2217547	0	148
3D7/PG0051-C/ERR019061	C02/PG0067-C/ERR019073	14	2222114	2314031	1	42
3D7/PG0051-C/ERR019061	C02/PG0067-C/ERR019073	14	2316005	3254381	0	603
3D7/PG0051-C/ERR019061	C03/PG0066-C/ERR019072	1	95518	574270	1	398
3D7/PG0051-C/ERR019061	C03/PG0066-C/ERR019072	2	109073	861650	1	531
3D7/PG0051-C/ERR019061	C03/PG0066-C/ERR019072	3	74346	1001448	0	620
3D7/PG0051-C/ERR019061	C03/PG0066-C/ERR019072	4	91950	1141383	1	1107
3D7/PG0051-C/ERR019061	C03/PG0066-C/ERR019072	5	38911	1199990	1	724
3D7/PG0051-C/ERR019061	C03/PG0066-C/ERR019072	5	1201913	1321348	0	96
3D7/PG0051-C/ERR019061	C03/PG0066-C/ERR019072	6	72627	566860	0	252
3D7/PG0051-C/ERR019061	C03/PG0066-C/ERR019072	6	569238	1237460	1	374
3D7/PG0051-C/ERR019061	C03/PG0066-C/ERR019072	6	1241407	1294070	0	101
3D7/PG0051-C/ERR019061	C03/PG0066-C/ERR019072	7	77258	638068	1	686
3D7/PG0051-C/ERR019061	C03/PG0066-C/ERR019072	7	645078	1380100	0	480
3D7/PG0051-C/ERR019061	C03/PG0066-C/ERR019072	8	74385	507802	1	284
3D7/PG0051-C/ERR019061	C03/PG0066-C/ERR019072	8	511564	1363564	0	606
3D7/PG0051-C/ERR019061	C03/PG0066-C/ERR019072	9	80852	133481	0	31
3D7/PG0051-C/ERR019061	C03/PG0066-C/ERR019072	9	139448	1473413	1	1107
3D7/PG0051-C/ERR019061	C03/PG0066-C/ERR019072	10	70764	356329	0	158
3D7/PG0051-C/ERR019061	C03/PG0066-C/ERR019072	10	362065	746148	1	189
3D7/PG0051-C/ERR019061	C03/PG0066-C/ERR019072	10	747640	1571687	0	762
3D7/PG0051-C/ERR019061	C03/PG0066-C/ERR019072	11	111204	1223065	1	545
3D7/PG0051-C/ERR019061	C03/PG0066-C/ERR019072	11	1228068	1355726	0	80
3D7/PG0051-C/ERR019061	C03/PG0066-C/ERR019072	11	1365066	1934044	1	291
3D7/PG0051-C/ERR019061	C03/PG0066-C/ERR019072	12	60587	114735	0	27
3D7/PG0051-C/ERR019061	C03/PG0066-C/ERR019072	12	122749	451960	1	146
3D7/PG0051-C/ERR019061	C03/PG0066-C/ERR019072	12	456343	1547462	0	442
3D7/PG0051-C/ERR019061	C03/PG0066-C/ERR019072	12	1554744	1568966	1	14
3D7/PG0051-C/ERR019061	C03/PG0066-C/ERR019072	12	1574855	2162878	0	320
3D7/PG0051-C/ERR019061	C03/PG0066-C/ERR019072	13	92637	2787498	0	1418
3D7/PG0051-C/ERR019061	C03/PG0066-C/ERR019072	14	36236	387203	1	217
3D7/PG0051-C/ERR019061	C03/PG0066-C/ERR019072	14	392003	743877	0	181
3D7/PG0051-C/ERR019061	C03/PG0066-C/ERR019072	14	745836	2805504	1	1072
3D7/PG0051-C/ERR019061	C03/PG0066-C/ERR019072	14	2810527	3254381	0	362
3D7/PG0051-C/ERR019061	C04/PG0061-C/ERR019059	1	95518	395768	1	172
3D7/PG0051-C/ERR019061	C04/PG0061-C/ERR019059	1	398889	574270	0	226
3D7/PG0051-C/ERR019061	C04/PG0061-C/ERR019059	2	109073	477756	0	219
3D7/PG0051-C/ERR019061	C04/PG0061-C/ERR019059	2	487241	619131	1	77
3D7/PG0051-C/ERR019061	C04/PG0061-C/ERR019059	2	630726	861650	0	235
3D7/PG0051-C/ERR019061	C04/PG0061-C/ERR019059	3	74346	635823	0	397
3D7/PG0051-C/ERR019061	C04/PG0061-C/ERR019059	3	648157	1001448	1	223
3D7/PG0051-C/ERR019061	C04/PG0061-C/ERR019059	4	91950	165586	0	257
3D7/PG0051-C/ERR019061	C04/PG0061-C/ERR019059	4	166432	1107070	1	753
3D7/PG0051-C/ERR019061	C04/PG0061-C/ERR019059	4	1111429	1141383	0	97
3D7/PG0051-C/ERR019061	C04/PG0061-C/ERR019059	5	38911	568943	0	357
3D7/PG0051-C/ERR019061	C04/PG0061-C/ERR019059	5	576493	1321348	1	463
3D7/PG0051-C/ERR019061	C04/PG0061-C/ERR019059	6	72627	134602	1	46
3D7/PG0051-C/ERR019061	C04/PG0061-C/ERR019059	6	135587	1294070	0	681
3D7/PG0051-C/ERR019061	C04/PG0061-C/ERR019059	7	77258	1380100	0	1166
3D7/PG0051-C/ERR019061	C04/PG0061-C/ERR019059	8	74385	378558	0	167
3D7/PG0051-C/ERR019061	C04/PG0061-C/ERR019059	8	386607	1111945	1	466
3D7/PG0051-C/ERR019061	C04/PG0061-C/ERR019059	8	1112813	1206385	0	57
3D7/PG0051-C/ERR019061	C04/PG0061-C/ERR019059	8	1208302	1363564	1	200
3D7/PG0051-C/ERR019061	C04/PG0061-C/ERR019059	9	80852	440611	0	196
3D7/PG0051-C/ERR019061	C04/PG0061-C/ERR019059	9	443707	1473413	1	942
3D7/PG0051-C/ERR019061	C04/PG0061-C/ERR019059	10	70764	1571687	0	1109
3D7/PG0051-C/ERR019061	C04/PG0061-C/ERR019059	11	111204	325587	0	120
3D7/PG0051-C/ERR019061	C04/PG0061-C/ERR019059	11	327089	1606697	1	622
3D7/PG0051-C/ERR019061	C04/PG0061-C/ERR019059	11	1611527	1934044	0	174
3D7/PG0051-C/ERR019061	C04/PG0061-C/ERR019059	12	60587	400368	1	143
3D7/PG0051-C/ERR019061	C04/PG0061-C/ERR019059	12	402708	1395047	0	388
3D7/PG0051-C/ERR019061	C04/PG0061-C/ERR019059	12	1398531	2162878	1	418
3D7/PG0051-C/ERR019061	C04/PG0061-C/ERR019059	13	92637	1316762	0	662
3D7/PG0051-C/ERR019061	C04/PG0061-C/ERR019059	13	1325431	2205069	1	444
3D7/PG0051-C/ERR019061	C04/PG0061-C/ERR019059	13	2211837	2787498	0	312
3D7/PG0051-C/ERR019061	C04/PG0061-C/ERR019059	14	36236	2080450	0	1137
3D7/PG0051-C/ERR019061	C04/PG0061-C/ERR019059	14	2087347	3107065	1	510
3D7/PG0051-C/ERR019061	C04/PG0061-C/ERR019059	14	3119361	3194673	0	135
3D7/PG0051-C/ERR019061	C04/PG0061-C/ERR019059	14	3200082	3254381	1	50
3D7/PG0051-C/ERR019061	C05/PG0068-C/ERR019065	1	95518	574270	1	398
3D7/PG0051-C/ERR019061	C05/PG0068-C/ERR019065	2	109073	861650	0	531
3D7/PG0051-C/ERR019061	C05/PG0068-C/ERR019065	3	74346	291210	0	195
3D7/PG0051-C/ERR019061	C05/PG0068-C/ERR019065	3	297417	898198	1	364
3D7/PG0051-C/ERR019061	C05/PG0068-C/ERR019065	3	902944	1001448	0	61
3D7/PG0051-C/ERR019061	C05/PG0068-C/ERR019065	4	91950	1141383	0	1107
3D7/PG0051-C/ERR019061	C05/PG0068-C/ERR019065	5	38911	1321348	0	820
3D7/PG0051-C/ERR019061	C05/PG0068-C/ERR019065	6	72627	1294070	0	727
3D7/PG0051-C/ERR019061	C05/PG0068-C/ERR019065	7	77258	1380100	0	1166
3D7/PG0051-C/ERR019061	C05/PG0068-C/ERR019065	8	74385	1363564	0	890
3D7/PG0051-C/ERR019061	C05/PG0068-C/ERR019065	9	80852	1315127	1	1025
3D7/PG0051-C/ERR019061	C05/PG0068-C/ERR019065	9	1316156	1473413	0	113
3D7/PG0051-C/ERR019061	C05/PG0068-C/ERR019065	10	70764	1186095	0	546
3D7/PG0051-C/ERR019061	C05/PG0068-C/ERR019065	10	1191732	1348540	1	92
3D7/PG0051-C/ERR019061	C05/PG0068-C/ERR019065	10	1355990	1571687	0	471
3D7/PG0051-C/ERR019061	C05/PG0068-C/ERR019065	11	111204	1934044	0	916
3D7/PG0051-C/ERR019061	C05/PG0068-C/ERR019065	12	60587	702052	1	282
3D7/PG0051-C/ERR019061	C05/PG0068-C/ERR019065	12	705819	2162878	0	667
3D7/PG0051-C/ERR019061	C05/PG0068-C/ERR019065	13	92637	987768	0	529
3D7/PG0051-C/ERR019061	C05/PG0068-C/ERR019065	13	993957	2622465	1	793
3D7/PG0051-C/ERR019061	C05/PG0068-C/ERR019065	13	2631073	2787498	0	96
3D7/PG0051-C/ERR019061	C05/PG0068-C/ERR019065	14	36236	128850	1	89
3D7/PG0051-C/ERR019061	C05/PG0068-C/ERR019065	14	130979	1152997	0	547
3D7/PG0051-C/ERR019061	C05/PG0068-C/ERR019065	14	1156510	1699288	1	278
3D7/PG0051-C/ERR019061	C05/PG0068-C/ERR019065	14	1705831	3254381	0	918
3D7/PG0051-C/ERR019061	C06/PG0069-C/ERR019055	1	95518	574270	0	398
3D7/PG0051-C/ERR019061	C06/PG0069-C/ERR019055	2	109073	861650	1	531
3D7/PG0051-C/ERR019061	C06/PG0069-C/ERR019055	3	74346	483480	1	315
3D7/PG0051-C/ERR019061	C06/PG0069-C/ERR019055	3	490990	652377	0	86
3D7/PG0051-C/ERR019061	C06/PG0069-C/ERR019055	3	654095	1001448	1	219
3D7/PG0051-C/ERR019061	C06/PG0069-C/ERR019055	4	91950	1141383	0	1107
3D7/PG0051-C/ERR019061	C06/PG0069-C/ERR019055	5	38911	107419	0	43
3D7/PG0051-C/ERR019061	C06/PG0069-C/ERR019055	5	109670	330541	1	157
3D7/PG0051-C/ERR019061	C06/PG0069-C/ERR019055	5	335910	1178155	0	496
3D7/PG0051-C/ERR019061	C06/PG0069-C/ERR019055	5	1181718	1321348	1	124
3D7/PG0051-C/ERR019061	C06/PG0069-C/ERR019055	6	72627	535110	1	236
3D7/PG0051-C/ERR019061	C06/PG0069-C/ERR019055	6	542221	664888	0	97
3D7/PG0051-C/ERR019061	C06/PG0069-C/ERR019055	6	665740	1294070	1	394
3D7/PG0051-C/ERR019061	C06/PG0069-C/ERR019055	7	77258	690832	0	716
3D7/PG0051-C/ERR019061	C06/PG0069-C/ERR019055	7	699119	1380100	1	450
3D7/PG0051-C/ERR019061	C06/PG0069-C/ERR019055	8	74385	96422	0	23
3D7/PG0051-C/ERR019061	C06/PG0069-C/ERR019055	8	97831	1363564	1	867
3D7/PG0051-C/ERR019061	C06/PG0069-C/ERR019055	9	80852	390630	1	177
3D7/PG0051-C/ERR019061	C06/PG0069-C/ERR019055	9	393479	570861	0	77
3D7/PG0051-C/ERR019061	C06/PG0069-C/ERR019055	9	573189	936352	1	214
3D7/PG0051-C/ERR019061	C06/PG0069-C/ERR019055	9	938829	1473413	0	670
3D7/PG0051-C/ERR019061	C06/PG0069-C/ERR019055	10	70764	611411	0	285
3D7/PG0051-C/ERR019061	C06/PG0069-C/ERR019055	10	613448	1571687	1	824
